task_id,project_day,date,weekday,block_id,block_label,block_hours,is_peak_block,block_duration_hrs,avg_volume_veh_hr,volume_factor,base_task_dm,dynamic_dm,delay_index
T05,4,2025-03-06,Thursday,B4,peak_pm,17:00-19:00,1,2,2282,1.494,1.65,2.4651,0.99
T02,5,2025-03-07,Friday,B1,early,06:00-07:00,0,1,388,1.0,1.02,1.02,-0.355
T02,5,2025-03-07,Friday,B2,peak_am,07:00-09:00,1,2,1918,1.3727,1.1,1.51,0.756
T02,5,2025-03-07,Friday,B3,midday,09:00-16:00,0,7,934,1.0447,1.04,1.0865,0.033
T02,5,2025-03-07,Friday,B4,peak_pm,17:00-19:00,1,2,2266,1.4887,1.08,1.6078,0.99
T05,5,2025-03-07,Friday,B1,early,06:00-07:00,0,1,346,1.0,1.15,1.15,-0.358
T05,5,2025-03-07,Friday,B2,peak_am,07:00-09:00,1,2,2075,1.425,1.7,2.4225,0.847
T05,5,2025-03-07,Friday,B3,midday,09:00-16:00,0,7,958,1.0527,1.25,1.3159,0.058
T05,5,2025-03-07,Friday,B4,peak_pm,17:00-19:00,1,2,2234,1.478,1.65,2.4387,0.987
T03,6,2025-03-10,Monday,B1,early,06:00-07:00,0,1,366,1.0,1.1,1.1,-0.341
T03,6,2025-03-10,Monday,B2,peak_am,07:00-09:00,1,2,2249,1.483,1.55,2.2987,0.97
T03,6,2025-03-10,Monday,B3,midday,09:00-16:00,0,7,985,1.0617,1.15,1.221,0.067
T03,6,2025-03-10,Monday,B4,peak_pm,17:00-19:00,1,2,2336,1.512,1.45,2.1924,0.99
T04,6,2025-03-10,Monday,B1,early,06:00-07:00,0,1,357,1.0,1.05,1.05,-0.368
T04,6,2025-03-10,Monday,B2,peak_am,07:00-09:00,1,2,1921,1.3737,1.4,1.9232,0.737
T04,6,2025-03-10,Monday,B3,midday,09:00-16:00,0,7,990,1.0633,1.1,1.1696,0.074
T04,6,2025-03-10,Monday,B4,peak_pm,17:00-19:00,1,2,2176,1.4587,1.35,1.9692,0.942
T06,6,2025-03-10,Monday,B1,early,06:00-07:00,0,1,352,1.0,1.2,1.2,-0.351
T06,6,2025-03-10,Monday,B2,peak_am,07:00-09:00,1,2,1814,1.338,1.78,2.3816,0.69
T06,6,2025-03-10,Monday,B3,midday,09:00-16:00,0,7,1039,1.0797,1.3,1.4036,0.105
T06,6,2025-03-10,Monday,B4,peak_pm,17:00-19:00,1,2,2044,1.4147,1.7,2.405,0.841
T03,7,2025-03-11,Tuesday,B1,early,06:00-07:00,0,1,387,1.0,1.1,1.1,-0.341
T03,7,2025-03-11,Tuesday,B2,peak_am,07:00-09:00,1,2,2067,1.4223,1.55,2.2046,0.837
T03,7,2025-03-11,Tuesday,B3,midday,09:00-16:00,0,7,961,1.0537,1.15,1.2118,0.077
T03,7,2025-03-11,Tuesday,B4,peak_pm,17:00-19:00,1,2,2058,1.4193,1.45,2.058,0.863
T04,7,2025-03-11,Tuesday,B1,early,06:00-07:00,0,1,432,1.0,1.05,1.05,-0.298
T04,7,2025-03-11,Tuesday,B2,peak_am,07:00-09:00,1,2,1813,1.3377,1.4,1.8728,0.688
T04,7,2025-03-11,Tuesday,B3,midday,09:00-16:00,0,7,1022,1.074,1.1,1.1814,0.12
T04,7,2025-03-11,Tuesday,B4,peak_pm,17:00-19:00,1,2,2254,1.4847,1.35,2.0043,0.99
T06,7,2025-03-11,Tuesday,B1,early,06:00-07:00,0,1,383,1.0,1.2,1.2,-0.351
T06,7,2025-03-11,Tuesday,B2,peak_am,07:00-09:00,1,2,1778,1.326,1.78,2.3603,0.635
T06,7,2025-03-11,Tuesday,B3,midday,09:00-16:00,0,7,1025,1.075,1.3,1.3975,0.094
T06,7,2025-03-11,Tuesday,B4,peak_pm,17:00-19:00,1,2,2268,1.4893,1.7,2.5318,0.99
T03,8,2025-03-12,Wednesday,B1,early,06:00-07:00,0,1,383,1.0,1.1,1.1,-0.359
T03,8,2025-03-12,Wednesday,B2,peak_am,07:00-09:00,1,2,1981,1.3937,1.55,2.1602,0.801
T03,8,2025-03-12,Wednesday,B3,midday,09:00-16:00,0,7,977,1.059,1.15,1.2178,0.06
T03,8,2025-03-12,Wednesday,B4,peak_pm,17:00-19:00,1,2,2474,1.558,1.45,2.2591,0.99
T04,8,2025-03-12,Wednesday,B1,early,06:00-07:00,0,1,375,1.0,1.05,1.05,-0.375
T04,8,2025-03-12,Wednesday,B2,peak_am,07:00-09:00,1,2,1937,1.379,1.4,1.9306,0.759
T04,8,2025-03-12,Wednesday,B3,midday,09:00-16:00,0,7,973,1.0577,1.1,1.1635,0.06
T04,8,2025-03-12,Wednesday,B4,peak_pm,17:00-19:00,1,2,2176,1.4587,1.35,1.9692,0.914
T06,8,2025-03-12,Wednesday,B1,early,06:00-07:00,0,1,388,1.0,1.2,1.2,-0.358
T06,8,2025-03-12,Wednesday,B2,peak_am,07:00-09:00,1,2,1936,1.3787,1.78,2.4541,0.74
T06,8,2025-03-12,Wednesday,B3,midday,09:00-16:00,0,7,1002,1.0673,1.3,1.3875,0.097
T06,8,2025-03-12,Wednesday,B4,peak_pm,17:00-19:00,1,2,2524,1.5747,1.7,2.677,0.99
T03,9,2025-03-13,Thursday,B1,early,06:00-07:00,0,1,416,1.0,1.1,1.1,-0.31
T03,9,2025-03-13,Thursday,B2,peak_am,07:00-09:00,1,2,1853,1.351,1.55,2.0941,0.706
T03,9,2025-03-13,Thursday,B3,midday,09:00-16:00,0,7,955,1.0517,1.15,1.2095,0.056
T03,9,2025-03-13,Thursday,B4,peak_pm,17:00-19:00,1,2,2154,1.4513,1.45,2.1044,0.932
T04,9,2025-03-13,Thursday,B1,early,06:00-07:00,0,1,405,1.0,1.05,1.05,-0.319
T04,9,2025-03-13,Thursday,B2,peak_am,07:00-09:00,1,2,1808,1.336,1.4,1.8704,0.679
T04,9,2025-03-13,Thursday,B3,midday,09:00-16:00,0,7,986,1.062,1.1,1.1682,0.08
T04,9,2025-03-13,Thursday,B4,peak_pm,17:00-19:00,1,2,2062,1.4207,1.35,1.9179,0.853
T06,9,2025-03-13,Thursday,B1,early,06:00-07:00,0,1,358,1.0,1.2,1.2,-0.382
T06,9,2025-03-13,Thursday,B2,peak_am,07:00-09:00,1,2,1756,1.3187,1.78,2.3473,0.625
T06,9,2025-03-13,Thursday,B3,midday,09:00-16:00,0,7,1002,1.0673,1.3,1.3875,0.111
T06,9,2025-03-13,Thursday,B4,peak_pm,17:00-19:00,1,2,1920,1.3733,1.7,2.3346,0.755
T07,9,2025-03-13,Thursday,B1,early,06:00-07:00,0,1,376,1.0,1.18,1.18,-0.346
T07,9,2025-03-13,Thursday,B2,peak_am,07:00-09:00,1,2,1996,1.3987,1.72,2.4058,0.787
T07,9,2025-03-13,Thursday,B3,midday,09:00-16:00,0,7,1003,1.0677,1.28,1.3667,0.108
T07,9,2025-03-13,Thursday,B4,peak_pm,17:00-19:00,1,2,2376,1.5253,1.68,2.5625,0.99
T03,10,2025-03-14,Friday,B1,early,06:00-07:00,0,1,375,1.0,1.1,1.1,-0.355
T03,10,2025-03-14,Friday,B2,peak_am,07:00-09:00,1,2,1934,1.378,1.55,2.1359,0.777
T03,10,2025-03-14,Friday,B3,midday,09:00-16:00,0,7,1020,1.0733,1.15,1.2343,0.119
T03,10,2025-03-14,Friday,B4,peak_pm,17:00-19:00,1,2,2172,1.4573,1.45,2.1131,0.933
T06,10,2025-03-14,Friday,B1,early,06:00-07:00,0,1,352,1.0,1.2,1.2,-0.357
T06,10,2025-03-14,Friday,B2,peak_am,07:00-09:00,1,2,1860,1.3533,1.78,2.4089,0.721
T06,10,2025-03-14,Friday,B3,midday,09:00-16:00,0,7,968,1.056,1.3,1.3728,0.076
T06,10,2025-03-14,Friday,B4,peak_pm,17:00-19:00,1,2,2228,1.476,1.7,2.5092,0.966
T07,10,2025-03-14,Friday,B1,early,06:00-07:00,0,1,396,1.0,1.18,1.18,-0.332
T07,10,2025-03-14,Friday,B2,peak_am,07:00-09:00,1,2,1700,1.3,1.72,2.236,0.576
T07,10,2025-03-14,Friday,B3,midday,09:00-16:00,0,7,951,1.0503,1.28,1.3444,0.058
T07,10,2025-03-14,Friday,B4,peak_pm,17:00-19:00,1,2,2364,1.5213,1.68,2.5558,0.99
T06,11,2025-03-17,Monday,B1,early,06:00-07:00,0,1,415,1.0,1.2,1.2,-0.312
T06,11,2025-03-17,Monday,B2,peak_am,07:00-09:00,1,2,1849,1.3497,1.78,2.4025,0.68
T06,11,2025-03-17,Monday,B3,midday,09:00-16:00,0,7,989,1.063,1.3,1.3819,0.095
T06,11,2025-03-17,Monday,B4,peak_pm,17:00-19:00,1,2,2172,1.4573,1.7,2.4774,0.943
T07,11,2025-03-17,Monday,B1,early,06:00-07:00,0,1,413,1.0,1.18,1.18,-0.323
T07,11,2025-03-17,Monday,B2,peak_am,07:00-09:00,1,2,2013,1.4043,1.72,2.4154,0.803
T07,11,2025-03-17,Monday,B3,midday,09:00-16:00,0,7,956,1.052,1.28,1.3466,0.072
T07,11,2025-03-17,Monday,B4,peak_pm,17:00-19:00,1,2,2397,1.5323,1.68,2.5743,0.99
T06,12,2025-03-18,Tuesday,B1,early,06:00-07:00,0,1,423,1.0,1.2,1.2,-0.308
T06,12,2025-03-18,Tuesday,B2,peak_am,07:00-09:00,1,2,1821,1.3403,1.78,2.3857,0.681
T06,12,2025-03-18,Tuesday,B3,midday,09:00-16:00,0,7,939,1.0463,1.3,1.3602,0.061
T06,12,2025-03-18,Tuesday,B4,peak_pm,17:00-19:00,1,2,2532,1.5773,1.7,2.6814,0.99
T07,12,2025-03-18,Tuesday,B1,early,06:00-07:00,0,1,365,1.0,1.18,1.18,-0.363
T07,12,2025-03-18,Tuesday,B2,peak_am,07:00-09:00,1,2,1970,1.39,1.72,2.3908,0.79
T07,12,2025-03-18,Tuesday,B3,midday,09:00-16:00,0,7,970,1.0567,1.28,1.3526,0.063
T07,12,2025-03-18,Tuesday,B4,peak_pm,17:00-19:00,1,2,2452,1.5507,1.68,2.6052,0.99
T06,13,2025-03-19,Wednesday,B1,early,06:00-07:00,0,1,386,1.0,1.2,1.2,-0.36
T06,13,2025-03-19,Wednesday,B2,peak_am,07:00-09:00,1,2,2038,1.4127,1.78,2.5146,0.821
T06,13,2025-03-19,Wednesday,B3,midday,09:00-16:00,0,7,1006,1.0687,1.3,1.3893,0.094
T06,13,2025-03-19,Wednesday,B4,peak_pm,17:00-19:00,1,2,2289,1.4963,1.7,2.5437,0.99
T08,13,2025-03-19,Wednesday,B1,early,06:00-07:00,0,1,388,1.0,1.18,1.18,-0.327
T08,13,2025-03-19,Wednesday,B2,peak_am,07:00-09:00,1,2,1965,1.3883,1.72,2.3879,0.781
T08,13,2025-03-19,Wednesday,B3,midday,09:00-16:00,0,7,1017,1.0723,1.28,1.3725,0.105
T08,13,2025-03-19,Wednesday,B4,peak_pm,17:00-19:00,1,2,2228,1.476,1.68,2.4797,0.961
T10,13,2025-03-19,Wednesday,B1,early,06:00-07:00,0,1,374,1.0,1.08,1.08,-0.353
T10,13,2025-03-19,Wednesday,B2,peak_am,07:00-09:00,1,2,1878,1.3593,1.45,1.971,0.727
T10,13,2025-03-19,Wednesday,B3,midday,09:00-16:00,0,7,1014,1.0713,1.12,1.1999,0.11
T10,13,2025-03-19,Wednesday,B4,peak_pm,17:00-19:00,1,2,2178,1.4593,1.4,2.043,0.952
T06,14,2025-03-20,Thursday,B1,early,06:00-07:00,0,1,386,1.0,1.2,1.2,-0.341
T06,14,2025-03-20,Thursday,B2,peak_am,07:00-09:00,1,2,2098,1.4327,1.78,2.5502,0.868
T06,14,2025-03-20,Thursday,B3,midday,09:00-16:00,0,7,1019,1.073,1.3,1.3949,0.113
T06,14,2025-03-20,Thursday,B4,peak_pm,17:00-19:00,1,2,2245,1.4817,1.7,2.5189,0.976
T08,14,2025-03-20,Thursday,B1,early,06:00-07:00,0,1,362,1.0,1.18,1.18,-0.362
T08,14,2025-03-20,Thursday,B2,peak_am,07:00-09:00,1,2,1902,1.3673,1.72,2.3518,0.741
T08,14,2025-03-20,Thursday,B3,midday,09:00-16:00,0,7,961,1.0537,1.28,1.3487,0.069
T08,14,2025-03-20,Thursday,B4,peak_pm,17:00-19:00,1,2,2183,1.461,1.68,2.4545,0.932
T10,14,2025-03-20,Thursday,B1,early,06:00-07:00,0,1,371,1.0,1.08,1.08,-0.355
T10,14,2025-03-20,Thursday,B2,peak_am,07:00-09:00,1,2,2084,1.428,1.45,2.0706,0.872
T10,14,2025-03-20,Thursday,B3,midday,09:00-16:00,0,7,986,1.062,1.12,1.1894,0.089
T10,14,2025-03-20,Thursday,B4,peak_pm,17:00-19:00,1,2,2448,1.5493,1.4,2.169,0.99
T06,15,2025-03-21,Friday,B1,early,06:00-07:00,0,1,388,1.0,1.2,1.2,-0.348
T06,15,2025-03-21,Friday,B2,peak_am,07:00-09:00,1,2,1844,1.348,1.78,2.3994,0.704
T06,15,2025-03-21,Friday,B3,midday,09:00-16:00,0,7,980,1.06,1.3,1.378,0.096
T06,15,2025-03-21,Friday,B4,peak_pm,17:00-19:00,1,2,2413,1.5377,1.7,2.6141,0.99
T08,15,2025-03-21,Friday,B1,early,06:00-07:00,0,1,443,1.0,1.18,1.18,-0.312
T08,15,2025-03-21,Friday,B2,peak_am,07:00-09:00,1,2,1887,1.3623,1.72,2.3432,0.732
T08,15,2025-03-21,Friday,B3,midday,09:00-16:00,0,7,1001,1.067,1.28,1.3658,0.084
T08,15,2025-03-21,Friday,B4,peak_pm,17:00-19:00,1,2,2206,1.4687,1.68,2.4674,0.953
T10,15,2025-03-21,Friday,B1,early,06:00-07:00,0,1,376,1.0,1.08,1.08,-0.369
T10,15,2025-03-21,Friday,B2,peak_am,07:00-09:00,1,2,2112,1.4373,1.45,2.0841,0.882
T10,15,2025-03-21,Friday,B3,midday,09:00-16:00,0,7,971,1.057,1.12,1.1838,0.072
T10,15,2025-03-21,Friday,B4,peak_pm,17:00-19:00,1,2,2222,1.474,1.4,2.0636,0.949
T08,16,2025-03-24,Monday,B1,early,06:00-07:00,0,1,457,1.0,1.18,1.18,-0.29
T08,16,2025-03-24,Monday,B2,peak_am,07:00-09:00,1,2,2134,1.4447,1.72,2.4849,0.891
T08,16,2025-03-24,Monday,B3,midday,09:00-16:00,0,7,1032,1.0773,1.28,1.3789,0.104
T08,16,2025-03-24,Monday,B4,peak_pm,17:00-19:00,1,2,2218,1.4727,1.68,2.4741,0.973
T10,16,2025-03-24,Monday,B1,early,06:00-07:00,0,1,397,1.0,1.08,1.08,-0.352
T10,16,2025-03-24,Monday,B2,peak_am,07:00-09:00,1,2,2174,1.458,1.45,2.1141,0.929
T10,16,2025-03-24,Monday,B3,midday,09:00-16:00,0,7,1109,1.103,1.12,1.2354,0.177
T10,16,2025-03-24,Monday,B4,peak_pm,17:00-19:00,1,2,2385,1.5283,1.4,2.1396,0.99
T09,17,2025-03-25,Tuesday,B1,early,06:00-07:00,0,1,380,1.0,1.15,1.15,-0.346
T09,17,2025-03-25,Tuesday,B2,peak_am,07:00-09:00,1,2,2251,1.4837,1.68,2.4926,0.983
T09,17,2025-03-25,Tuesday,B3,midday,09:00-16:00,0,7,1070,1.09,1.26,1.3734,0.138
T09,17,2025-03-25,Tuesday,B4,peak_pm,17:00-19:00,1,2,2524,1.5747,1.62,2.551,0.99
T10,17,2025-03-25,Tuesday,B1,early,06:00-07:00,0,1,432,1.0,1.08,1.08,-0.33
T10,17,2025-03-25,Tuesday,B2,peak_am,07:00-09:00,1,2,2282,1.494,1.45,2.1663,0.99
T10,17,2025-03-25,Tuesday,B3,midday,09:00-16:00,0,7,1086,1.0953,1.12,1.2267,0.137
T10,17,2025-03-25,Tuesday,B4,peak_pm,17:00-19:00,1,2,2638,1.6127,1.4,2.2578,0.99
T09,18,2025-03-26,Wednesday,B1,early,06:00-07:00,0,1,492,1.0,1.15,1.15,-0.259
T09,18,2025-03-26,Wednesday,B2,peak_am,07:00-09:00,1,2,2172,1.4573,1.68,2.4483,0.942
T09,18,2025-03-26,Wednesday,B3,midday,09:00-16:00,0,7,1046,1.082,1.26,1.3633,0.121
T09,18,2025-03-26,Wednesday,B4,peak_pm,17:00-19:00,1,2,2568,1.5893,1.62,2.5747,0.99
T11,18,2025-03-26,Wednesday,B1,early,06:00-07:00,0,1,369,1.0,1.08,1.08,-0.373
T11,18,2025-03-26,Wednesday,B2,peak_am,07:00-09:00,1,2,2179,1.4597,1.45,2.1166,0.933
T11,18,2025-03-26,Wednesday,B3,midday,09:00-16:00,0,7,1046,1.082,1.12,1.2118,0.113
T11,18,2025-03-26,Wednesday,B4,peak_pm,17:00-19:00,1,2,2186,1.462,1.4,2.0468,0.948
T13,18,2025-03-26,Wednesday,B1,early,06:00-07:00,0,1,396,1.0,1.12,1.12,-0.332
T13,18,2025-03-26,Wednesday,B2,peak_am,07:00-09:00,1,2,2163,1.4543,1.68,2.4432,0.937
T13,18,2025-03-26,Wednesday,B3,midday,09:00-16:00,0,7,1062,1.0873,1.22,1.3265,0.153
T13,18,2025-03-26,Wednesday,B4,peak_pm,17:00-19:00,1,2,2437,1.5457,1.6,2.4731,0.99
T09,19,2025-03-27,Thursday,B1,early,06:00-07:00,0,1,410,1.0,1.15,1.15,-0.336
T09,19,2025-03-27,Thursday,B2,peak_am,07:00-09:00,1,2,1956,1.3853,1.68,2.3273,0.775
T09,19,2025-03-27,Thursday,B3,midday,09:00-16:00,0,7,1113,1.1043,1.26,1.3914,0.182
T09,19,2025-03-27,Thursday,B4,peak_pm,17:00-19:00,1,2,2680,1.6267,1.62,2.6353,0.99
T11,19,2025-03-27,Thursday,B1,early,06:00-07:00,0,1,465,1.0,1.08,1.08,-0.286
T11,19,2025-03-27,Thursday,B2,peak_am,07:00-09:00,1,2,1941,1.3803,1.45,2.0014,0.755
T11,19,2025-03-27,Thursday,B3,midday,09:00-16:00,0,7,1072,1.0907,1.12,1.2216,0.159
T11,19,2025-03-27,Thursday,B4,peak_pm,17:00-19:00,1,2,2555,1.585,1.4,2.219,0.99
T13,19,2025-03-27,Thursday,B1,early,06:00-07:00,0,1,375,1.0,1.12,1.12,-0.371
T13,19,2025-03-27,Thursday,B2,peak_am,07:00-09:00,1,2,2237,1.479,1.68,2.4847,0.962
T13,19,2025-03-27,Thursday,B3,midday,09:00-16:00,0,7,1039,1.0797,1.22,1.3172,0.126
T13,19,2025-03-27,Thursday,B4,peak_pm,17:00-19:00,1,2,2656,1.6187,1.6,2.5899,0.99
T09,20,2025-03-28,Friday,B1,early,06:00-07:00,0,1,421,1.0,1.15,1.15,-0.336
T09,20,2025-03-28,Friday,B2,peak_am,07:00-09:00,1,2,2220,1.4733,1.68,2.4751,0.967
T09,20,2025-03-28,Friday,B3,midday,09:00-16:00,0,7,1127,1.109,1.26,1.3973,0.169
T09,20,2025-03-28,Friday,B4,peak_pm,17:00-19:00,1,2,2460,1.5533,1.62,2.5163,0.99
T11,20,2025-03-28,Friday,B1,early,06:00-07:00,0,1,414,1.0,1.08,1.08,-0.343
T11,20,2025-03-28,Friday,B2,peak_am,07:00-09:00,1,2,2223,1.4743,1.45,2.1377,0.958
T11,20,2025-03-28,Friday,B3,midday,09:00-16:00,0,7,1076,1.092,1.12,1.223,0.156
T11,20,2025-03-28,Friday,B4,peak_pm,17:00-19:00,1,2,2528,1.576,1.4,2.2064,0.99
T13,20,2025-03-28,Friday,B1,early,06:00-07:00,0,1,450,1.0,1.12,1.12,-0.284
T13,20,2025-03-28,Friday,B2,peak_am,07:00-09:00,1,2,2138,1.446,1.68,2.4293,0.905
T13,20,2025-03-28,Friday,B3,midday,09:00-16:00,0,7,1137,1.1123,1.22,1.357,0.205
T13,20,2025-03-28,Friday,B4,peak_pm,17:00-19:00,1,2,2438,1.546,1.6,2.4736,0.99
T11,21,2025-03-31,Monday,B1,early,06:00-07:00,0,1,389,1.0,1.08,1.08,-0.363
T11,21,2025-03-31,Monday,B2,peak_am,07:00-09:00,1,2,2182,1.4607,1.45,2.118,0.917
T11,21,2025-03-31,Monday,B3,midday,09:00-16:00,0,7,1100,1.1,1.12,1.232,0.176
T11,21,2025-03-31,Monday,B4,peak_pm,17:00-19:00,1,2,2471,1.557,1.4,2.1798,0.99
T13,21,2025-03-31,Monday,B1,early,06:00-07:00,0,1,386,1.0,1.12,1.12,-0.35
T13,21,2025-03-31,Monday,B2,peak_am,07:00-09:00,1,2,2186,1.462,1.68,2.4562,0.942
T13,21,2025-03-31,Monday,B3,midday,09:00-16:00,0,7,1043,1.081,1.22,1.3188,0.142
T13,21,2025-03-31,Monday,B4,peak_pm,17:00-19:00,1,2,2516,1.572,1.6,2.5152,0.99
T11,22,2025-04-01,Tuesday,B1,early,06:00-07:00,0,1,380,1.0,1.08,1.08,-0.34
T11,22,2025-04-01,Tuesday,B2,peak_am,07:00-09:00,1,2,2260,1.4867,1.45,2.1557,0.99
T11,22,2025-04-01,Tuesday,B3,midday,09:00-16:00,0,7,1064,1.088,1.12,1.2186,0.119
T11,22,2025-04-01,Tuesday,B4,peak_pm,17:00-19:00,1,2,2440,1.5467,1.4,2.1654,0.99
T13,22,2025-04-01,Tuesday,B1,early,06:00-07:00,0,1,419,1.0,1.12,1.12,-0.313
T13,22,2025-04-01,Tuesday,B2,peak_am,07:00-09:00,1,2,2233,1.4777,1.68,2.4825,0.965
T13,22,2025-04-01,Tuesday,B3,midday,09:00-16:00,0,7,1114,1.1047,1.22,1.3477,0.177
T13,22,2025-04-01,Tuesday,B4,peak_pm,17:00-19:00,1,2,2434,1.5447,1.6,2.4715,0.99
T12,23,2025-04-02,Wednesday,B1,early,06:00-07:00,0,1,420,1.0,1.06,1.06,-0.326
T12,23,2025-04-02,Wednesday,B2,peak_am,07:00-09:00,1,2,2120,1.44,1.42,2.0448,0.886
T12,23,2025-04-02,Wednesday,B3,midday,09:00-16:00,0,7,1121,1.107,1.11,1.2288,0.161
T12,23,2025-04-02,Wednesday,B4,peak_pm,17:00-19:00,1,2,2520,1.5733,1.38,2.1712,0.99
T13,23,2025-04-02,Wednesday,B1,early,06:00-07:00,0,1,475,1.0,1.12,1.12,-0.289
T13,23,2025-04-02,Wednesday,B2,peak_am,07:00-09:00,1,2,2184,1.4613,1.68,2.455,0.943
T13,23,2025-04-02,Wednesday,B3,midday,09:00-16:00,0,7,1054,1.0847,1.22,1.3233,0.144
T13,23,2025-04-02,Wednesday,B4,peak_pm,17:00-19:00,1,2,2463,1.5543,1.6,2.4869,0.99
T12,24,2025-04-03,Thursday,B1,early,06:00-07:00,0,1,448,1.0,1.06,1.06,-0.309
T12,24,2025-04-03,Thursday,B2,peak_am,07:00-09:00,1,2,2268,1.4893,1.42,2.1148,0.99
T12,24,2025-04-03,Thursday,B3,midday,09:00-16:00,0,7,1096,1.0987,1.11,1.2196,0.143
T12,24,2025-04-03,Thursday,B4,peak_pm,17:00-19:00,1,2,2639,1.613,1.38,2.2259,0.99
T14,24,2025-04-03,Thursday,B1,early,06:00-07:00,0,1,430,1.0,1.1,1.1,-0.297
T14,24,2025-04-03,Thursday,B2,peak_am,07:00-09:00,1,2,2162,1.454,1.65,2.3991,0.937
T14,24,2025-04-03,Thursday,B3,midday,09:00-16:00,0,7,1080,1.0933,1.2,1.312,0.164
T14,24,2025-04-03,Thursday,B4,peak_pm,17:00-19:00,1,2,2568,1.5893,1.58,2.5111,0.99
T16,24,2025-04-03,Thursday,B1,early,06:00-07:00,0,1,416,1.0,1.14,1.14,-0.326
T16,24,2025-04-03,Thursday,B2,peak_am,07:00-09:00,1,2,2111,1.437,1.7,2.4429,0.894
T16,24,2025-04-03,Thursday,B3,midday,09:00-16:00,0,7,1118,1.106,1.24,1.3714,0.167
T16,24,2025-04-03,Thursday,B4,peak_pm,17:00-19:00,1,2,2738,1.646,1.65,2.7159,0.99
T12,25,2025-04-04,Friday,B1,early,06:00-07:00,0,1,368,1.0,1.06,1.06,-0.362
T12,25,2025-04-04,Friday,B2,peak_am,07:00-09:00,1,2,2062,1.4207,1.42,2.0174,0.859
T12,25,2025-04-04,Friday,B3,midday,09:00-16:00,0,7,1084,1.0947,1.11,1.2151,0.141
T12,25,2025-04-04,Friday,B4,peak_pm,17:00-19:00,1,2,2474,1.558,1.38,2.15,0.99
T14,25,2025-04-04,Friday,B1,early,06:00-07:00,0,1,453,1.0,1.1,1.1,-0.299
T14,25,2025-04-04,Friday,B2,peak_am,07:00-09:00,1,2,2092,1.4307,1.65,2.3607,0.872
T14,25,2025-04-04,Friday,B3,midday,09:00-16:00,0,7,1120,1.1067,1.2,1.328,0.172
T14,25,2025-04-04,Friday,B4,peak_pm,17:00-19:00,1,2,2428,1.5427,1.58,2.4375,0.99
T16,25,2025-04-04,Friday,B1,early,06:00-07:00,0,1,448,1.0,1.14,1.14,-0.312
T16,25,2025-04-04,Friday,B2,peak_am,07:00-09:00,1,2,2284,1.4947,1.7,2.541,0.99
T16,25,2025-04-04,Friday,B3,midday,09:00-16:00,0,7,1081,1.0937,1.24,1.3562,0.142
T16,25,2025-04-04,Friday,B4,peak_pm,17:00-19:00,1,2,2642,1.614,1.65,2.6631,0.99
T12,26,2025-04-07,Monday,B1,early,06:00-07:00,0,1,407,1.0,1.06,1.06,-0.331
T12,26,2025-04-07,Monday,B2,peak_am,07:00-09:00,1,2,2038,1.4127,1.42,2.006,0.84
T12,26,2025-04-07,Monday,B3,midday,09:00-16:00,0,7,1072,1.0907,1.11,1.2107,0.148
