project_day,date,weekday,task_id,road_impact_level,zone,actual_block_scheduled,actual_dm,recommended_block,dm_B1,dm_B2_peak_am,dm_B3_midday,dm_B4_peak_pm,is_within_planned_window,task_delay_days,peak_conflict_flag,effective_day_contribution
10,2025-03-14,Friday,T07,3,A,B3,1.28,B1,1.18,1.72,1.28,1.68,True,1,0,0.7812
11,2025-03-17,Monday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
11,2025-03-17,Monday,T07,3,A,B3,1.28,B1,1.18,1.72,1.28,1.68,True,1,0,0.7812
12,2025-03-18,Tuesday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
12,2025-03-18,Tuesday,T07,3,A,B3,1.28,B1,1.18,1.72,1.28,1.68,True,1,0,0.7812
13,2025-03-19,Wednesday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
13,2025-03-19,Wednesday,T08,3,B,B3,1.28,B1,1.18,1.72,1.28,1.68,True,0,0,0.7812
13,2025-03-19,Wednesday,T10,2,A,B3,1.12,B1,1.08,1.45,1.12,1.4,True,1,0,0.8929
14,2025-03-20,Thursday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
14,2025-03-20,Thursday,T08,3,B,B3,1.28,B1,1.18,1.72,1.28,1.68,True,0,0,0.7812
14,2025-03-20,Thursday,T10,2,A,B3,1.12,B1,1.08,1.45,1.12,1.4,True,1,0,0.8929
15,2025-03-21,Friday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
15,2025-03-21,Friday,T08,3,B,B3,1.28,B1,1.18,1.72,1.28,1.68,True,0,0,0.7812
15,2025-03-21,Friday,T10,2,A,B3,1.12,B1,1.08,1.45,1.12,1.4,True,1,0,0.8929
16,2025-03-24,Monday,T08,3,B,B3,1.28,B1,1.18,1.72,1.28,1.68,True,0,0,0.7812
16,2025-03-24,Monday,T10,2,A,B3,1.12,B1,1.08,1.45,1.12,1.4,True,1,0,0.8929
17,2025-03-25,Tuesday,T09,2,C,B3,1.26,B1,1.15,1.68,1.26,1.62,True,2,0,0.7937
17,2025-03-25,Tuesday,T10,2,A,B3,1.12,B1,1.08,1.45,1.12,1.4,True,1,0,0.8929
18,2025-03-26,Wednesday,T09,2,C,B3,1.26,B1,1.15,1.68,1.26,1.62,True,2,0,0.7937
18,2025-03-26,Wednesday,T11,2,B,B3,1.12,B1,1.08,1.45,1.12,1.4,True,0,0,0.8929
18,2025-03-26,Wednesday,T13,3,A,B3,1.22,B1,1.12,1.68,1.22,1.6,True,1,0,0.8197
19,2025-03-27,Thursday,T09,2,C,B3,1.26,B1,1.15,1.68,1.26,1.62,True,2,0,0.7937
19,2025-03-27,Thursday,T11,2,B,B3,1.12,B1,1.08,1.45,1.12,1.4,True,0,0,0.8929
19,2025-03-27,Thursday,T13,3,A,B3,1.22,B1,1.12,1.68,1.22,1.6,True,1,0,0.8197
20,2025-03-28,Friday,T09,2,C,B3,1.26,B1,1.15,1.68,1.26,1.62,True,2,0,0.7937
20,2025-03-28,Friday,T11,2,B,B3,1.12,B1,1.08,1.45,1.12,1.4,True,0,0,0.8929
20,2025-03-28,Friday,T13,3,A,B3,1.22,B1,1.12,1.68,1.22,1.6,True,1,0,0.8197
21,2025-03-31,Monday,T11,2,B,B3,1.12,B1,1.08,1.45,1.12,1.4,True,0,0,0.8929
21,2025-03-31,Monday,T13,3,A,B3,1.22,B1,1.12,1.68,1.22,1.6,True,1,0,0.8197
22,2025-04-01,Tuesday,T11,2,B,B3,1.12,B1,1.08,1.45,1.12,1.4,True,0,0,0.8929
22,2025-04-01,Tuesday,T13,3,A,B3,1.22,B1,1.12,1.68,1.22,1.6,True,1,0,0.8197
23,2025-04-02,Wednesday,T12,1,C,B3,1.11,B1,1.06,1.42,1.11,1.38,True,2,0,0.9009
23,2025-04-02,Wednesday,T13,3,A,B3,1.22,B1,1.12,1.68,1.22,1.6,True,1,0,0.8197
24,2025-04-03,Thursday,T12,1,C,B3,1.11,B1,1.06,1.42,1.11,1.38,True,2,0,0.9009
24,2025-04-03,Thursday,T14,2,B,B3,1.2,B1,1.1,1.65,1.2,1.58,True,0,0,0.8333
24,2025-04-03,Thursday,T16,3,A,B3,1.24,B1,1.14,1.7,1.24,1.65,True,0,0,0.8065
25,2025-04-04,Friday,T12,1,C,B3,1.11,B1,1.06,1.42,1.11,1.38,True,2,0,0.9009
25,2025-04-04,Friday,T14,2,B,B3,1.2,B1,1.1,1.65,1.2,1.58,True,0,0,0.8333
25,2025-04-04,Friday,T16,3,A,B3,1.24,B1,1.14,1.7,1.24,1.65,True,0,0,0.8065
26,2025-04-07,Monday,T12,1,C,B3,1.11,B1,1.06,1.42,1.11,1.38,True,2,0,0.9009
26,2025-04-07,Monday,T14,2,B,B3,1.2,B1,1.1,1.65,1.2,1.58,True,0,0,0.8333
26,2025-04-07,Monday,T16,3,A,B3,1.24,B1,1.14,1.7,1.24,1.65,True,0,0,0.8065
27,2025-04-08,Tuesday,T12,1,C,B3,1.11,B1,1.06,1.42,1.11,1.38,True,2,0,0.9009
27,2025-04-08,Tuesday,T14,2,B,B3,1.2,B1,1.1,1.65,1.2,1.58,True,0,0,0.8333
27,2025-04-08,Tuesday,T16,3,A,B3,1.24,B1,1.14,1.7,1.24,1.65,True,0,0,0.8065
28,2025-04-09,Wednesday,T14,2,B,B3,1.2,B1,1.1,1.65,1.2,1.58,True,0,0,0.8333
28,2025-04-09,Wednesday,T17,3,B,B3,1.24,B1,1.14,1.7,1.24,1.65,True,1,0,0.8065
28,2025-04-09,Wednesday,T19,3,A,B3,1.28,B1,1.18,1.75,1.28,1.7,True,0,0,0.7812
29,2025-04-10,Thursday,T14,2,B,B3,1.2,B1,1.1,1.65,1.2,1.58,True,0,0,0.8333
29,2025-04-10,Thursday,T17,3,B,B3,1.24,B1,1.14,1.7,1.24,1.65,True,1,0,0.8065
29,2025-04-10,Thursday,T19,3,A,B3,1.28,B1,1.18,1.75,1.28,1.7,True,0,0,0.7812
30,2025-04-11,Friday,T15,2,C,B3,1.18,B1,1.08,1.62,1.18,1.55,True,3,0,0.8475
30,2025-04-11,Friday,T17,3,B,B3,1.24,B1,1.14,1.7,1.24,1.65,True,1,0,0.8065
30,2025-04-11,Friday,T19,3,A,B3,1.28,B1,1.18,1.75,1.28,1.7,True,0,0,0.7812
31,2025-04-14,Monday,T15,2,C,B3,1.18,B1,1.08,1.62,1.18,1.55,True,3,0,0.8475
31,2025-04-14,Monday,T17,3,B,B3,1.24,B1,1.14,1.7,1.24,1.65,True,1,0,0.8065
31,2025-04-14,Monday,T20,3,B,B3,1.27,B1,1.17,1.74,1.27,1.68,True,1,0,0.7874
32,2025-04-15,Tuesday,T15,2,C,B3,1.18,B1,1.08,1.62,1.18,1.55,True,3,0,0.8475
32,2025-04-15,Tuesday,T18,3,C,B3,1.22,B1,1.12,1.68,1.22,1.62,True,2,0,0.8197
32,2025-04-15,Tuesday,T20,3,B,B3,1.27,B1,1.17,1.74,1.27,1.68,True,1,0,0.7874
33,2025-04-16,Wednesday,T15,2,C,B3,1.18,B1,1.08,1.62,1.18,1.55,True,3,0,0.8475
33,2025-04-16,Wednesday,T18,3,C,B3,1.22,B1,1.12,1.68,1.22,1.62,True,2,0,0.8197
33,2025-04-16,Wednesday,T20,3,B,B3,1.27,B1,1.17,1.74,1.27,1.68,True,1,0,0.7874
34,2025-04-17,Thursday,T15,2,C,B3,1.18,B1,1.08,1.62,1.18,1.55,True,3,0,0.8475
34,2025-04-17,Thursday,T18,3,C,B3,1.22,B1,1.12,1.68,1.22,1.62,True,2,0,0.8197
34,2025-04-17,Thursday,T21,3,C,B3,1.26,B1,1.16,1.72,1.26,1.66,True,2,0,0.7937
35,2025-04-18,Friday,T18,3,C,B3,1.22,B1,1.12,1.68,1.22,1.62,True,2,0,0.8197
35,2025-04-18,Friday,T21,3,C,B3,1.26,B1,1.16,1.72,1.26,1.66,True,2,0,0.7937
36,2025-04-21,Monday,T21,3,C,B3,1.26,B1,1.16,1.72,1.26,1.66,True,2,0,0.7937
37,2025-04-22,Tuesday,T22,1,X,B3,1.03,B1,1.02,1.08,1.03,1.06,True,1,0,0.9709
38,2025-04-23,Wednesday,T22,1,X,B3,1.03,B1,1.02,1.08,1.03,1.06,True,1,0,0.9709
39,2025-04-24,Thursday,T22,1,X,B3,1.03,B1,1.02,1.08,1.03,1.06,True,1,0,0.9709
39,2025-04-24,Thursday,T24,0,X,B3,1.0,B1,1.0,1.0,1.0,1.0,True,1,0,1.0
40,2025-04-25,Friday,T23,1,X,B3,1.02,B1,1.01,1.05,1.02,1.04,True,0,0,0.9804
40,2025-04-25,Friday,T24,0,X,B3,1.0,B1,1.0,1.0,1.0,1.0,True,1,0,1.0
