task_id,wbs_code,task_name,primary_resource_type,workers_required,equip_crane,equip_milling_machine,equip_excavator,equip_compactor,equip_paver,planned_start_day,planned_duration_days,actual_duration_days,delay_days,delay_cause_code,road_impact_level,zone,location_segment,dm_block_B1_early,dm_block_B2_peak_am,dm_block_B3_midday,dm_block_B4_peak_pm,unit_cost_per_worker_day_usd,planned_cost_usd,planned_start_date,planned_end_date,actual_start_date,actual_end_date
T11,5.1,subbase_preparation_seg_B,earthworks_crew,7,0,0,2,1,0,17,5,5,0,NONE,2,B,seg_B,1.08,1.45,1.12,1.4,900,31500,2025-03-26,2025-04-01,2025-03-26,2025-04-01
T12,5.2,subbase_preparation_seg_C,earthworks_crew,7,0,0,1,1,0,22,5,7,2,MAT,1,C,seg_C,1.06,1.42,1.11,1.38,900,31500,2025-04-02,2025-04-08,2025-04-02,2025-04-10
T13,6.0,drainage_installation_seg_A,specialist_crew,5,1,0,2,0,0,17,6,7,1,TRAF,3,A,seg_A,1.12,1.68,1.22,1.6,1200,36000,2025-03-26,2025-04-02,2025-03-26,2025-04-03
T14,6.1,drainage_installation_seg_B,specialist_crew,5,1,0,2,0,0,23,6,6,0,NONE,2,B,seg_B,1.1,1.65,1.2,1.58,1200,36000,2025-04-03,2025-04-10,2025-04-03,2025-04-10
T15,6.2,drainage_installation_seg_C,specialist_crew,5,1,0,1,0,0,29,5,8,3,EQUIP,2,C,seg_C,1.08,1.62,1.18,1.55,1200,30000,2025-04-11,2025-04-17,2025-04-11,2025-04-22
T16,7.0,base_course_laying_seg_A,paving_crew,8,0,0,0,2,1,23,4,4,0,NONE,3,A,seg_A,1.14,1.7,1.24,1.65,1100,35200,2025-04-03,2025-04-08,2025-04-03,2025-04-08
T17,7.1,base_course_laying_seg_B,paving_crew,8,0,0,0,2,1,27,4,5,1,TRAF,3,B,seg_B,1.14,1.7,1.24,1.65,1100,35200,2025-04-09,2025-04-14,2025-04-09,2025-04-15
T18,7.2,base_course_laying_seg_C,paving_crew,8,0,0,0,1,1,31,4,6,2,WTHR,3,C,seg_C,1.12,1.68,1.22,1.62,1100,35200,2025-04-15,2025-04-18,2025-04-15,2025-04-22
T19,8.0,asphalt_paving_seg_A,paving_qc,10,0,0,0,1,2,27,3,3,0,NONE,3,A,seg_A,1.18,1.75,1.28,1.7,1300,39000,2025-04-09,2025-04-11,2025-04-09,2025-04-11
T20,8.1,asphalt_paving_seg_B,paving_qc,10,0,0,0,1,2,30,3,4,1,MAT,3,B,seg_B,1.17,1.74,1.27,1.68,1300,39000,2025-04-14,2025-04-16,2025-04-14,2025-04-17
T21,8.2,asphalt_paving_seg_C,paving_qc,10,0,0,0,1,2,33,3,5,2,TRAF,3,C,seg_C,1.16,1.72,1.26,1.66,1300,39000,2025-04-17,2025-04-21,2025-04-17,2025-04-23
T22,9.0,road_marking_signage,specialist_crew,5,0,0,0,0,0,36,3,4,1,PERMIT,1,X,all,1.02,1.08,1.03,1.06,1200,18000,2025-04-22,2025-04-24,2025-04-22,2025-04-25
T23,9.1,safety_barrier_installation,general_labour,6,1,0,0,0,0,39,2,2,0,NONE,1,X,all,1.01,1.05,1.02,1.04,650,7800,2025-04-25,2025-04-25,2025-04-25,2025-04-25
T24,10.0,final_inspection_handover,qa_qc_team,4,0,0,0,0,0,38,2,3,1,QA,0,X,all,1.0,1.0,1.0,1.0,950,7600,2025-04-24,2025-04-25,2025-04-24,2025-04-25
