task_id,resource_type,project_day,date,weekday,is_within_planned_window,planned_workers,actual_workers,idle_workers,labour_cost_usd,idle_labour_cost_usd,absenteeism_rate,total_equipment_units,crane_units,milling_units,excavator_units,compactor_units,paver_units,equipment_utilisation_rate,idle_equipment_units,preferred_block_id,effective_dm
T04,specialist_crew,6,2025-03-10,Monday,1,5,5,0,6000,0.0,0.066,1,0,0,1,0,0,0.7,0.3,B3,1.1
T04,specialist_crew,7,2025-03-11,Tuesday,1,5,5,0,6000,0.0,0.024,1,0,0,1,0,0,0.86,0.14,B3,1.1
T04,specialist_crew,8,2025-03-12,Wednesday,1,5,5,0,6000,0.0,0.036,1,0,0,1,0,0,0.87,0.13,B3,1.1
T04,specialist_crew,9,2025-03-13,Thursday,1,5,5,0,6000,0.0,0.056,1,0,0,1,0,0,0.87,0.13,B3,1.1
T05,traffic_mgmt,4,2025-03-06,Thursday,1,6,6,0,4500,0.0,0.059,0,0,0,0,0,0,0.0,0,B3,1.25
T05,traffic_mgmt,5,2025-03-07,Friday,1,6,5,1,3750,225.0,0.093,0,0,0,0,0,0,0.0,0,B3,1.25
T05,traffic_mgmt,6,2025-03-10,Monday,0,6,6,6,4500,1350.0,0.023,0,0,0,0,0,0,0.0,0,B3,1.25
T06,traffic_mgmt,6,2025-03-10,Monday,1,4,4,0,3000,0.0,0.108,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,7,2025-03-11,Tuesday,1,4,4,0,3000,0.0,0.091,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,8,2025-03-12,Wednesday,1,4,4,0,3000,0.0,0.029,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,9,2025-03-13,Thursday,1,4,4,0,3000,0.0,0.001,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,10,2025-03-14,Friday,1,4,4,0,3000,0.0,0.049,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,11,2025-03-17,Monday,1,4,4,0,3000,0.0,0.028,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,12,2025-03-18,Tuesday,1,4,4,0,3000,0.0,0.042,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,13,2025-03-19,Wednesday,1,4,4,0,3000,0.0,0.101,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,14,2025-03-20,Thursday,1,4,4,0,3000,0.0,0.105,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,15,2025-03-21,Friday,1,4,4,0,3000,0.0,0.114,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,16,2025-03-24,Monday,0,4,4,4,3000,900.0,0.0,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,17,2025-03-25,Tuesday,0,4,4,4,3000,900.0,0.079,0,0,0,0,0,0,0.0,0,B3,1.3
T06,traffic_mgmt,18,2025-03-26,Wednesday,0,4,4,4,3000,900.0,0.102,0,0,0,0,0,0,0.0,0,B3,1.3
T07,heavy_equipment,9,2025-03-13,Thursday,1,5,5,0,12000,0.0,0.087,2,0,2,0,0,0,0.73,0.54,B3,1.28
T07,heavy_equipment,10,2025-03-14,Friday,1,5,5,0,12000,0.0,0.064,2,0,2,0,0,0,0.77,0.46,B3,1.28
T07,heavy_equipment,11,2025-03-17,Monday,1,5,5,0,12000,0.0,0.059,2,0,2,0,0,0,0.72,0.56,B3,1.28
T07,heavy_equipment,12,2025-03-18,Tuesday,1,5,4,1,9600,720.0,0.12,2,0,2,0,0,0,0.9,0.2,B3,1.28
T07,heavy_equipment,13,2025-03-19,Wednesday,0,5,5,5,12000,3600.0,0.011,2,0,2,0,0,0,0.0,2.0,B3,1.28
T08,heavy_equipment,13,2025-03-19,Wednesday,1,5,4,1,9600,720.0,0.111,2,0,2,0,0,0,0.95,0.1,B3,1.28
T08,heavy_equipment,14,2025-03-20,Thursday,1,5,5,0,12000,0.0,0.062,2,0,2,0,0,0,0.9,0.2,B3,1.28
T08,heavy_equipment,15,2025-03-21,Friday,1,5,5,0,12000,0.0,0.045,2,0,2,0,0,0,0.97,0.06,B3,1.28
T08,heavy_equipment,16,2025-03-24,Monday,1,5,5,0,12000,0.0,0.01,2,0,2,0,0,0,0.73,0.54,B3,1.28
T09,heavy_equipment,17,2025-03-25,Tuesday,1,5,5,0,12000,0.0,0.016,1,0,1,0,0,0,0.93,0.07,B3,1.26
T09,heavy_equipment,18,2025-03-26,Wednesday,1,5,5,0,12000,0.0,0.009,1,0,1,0,0,0,0.86,0.14,B3,1.26
T09,heavy_equipment,19,2025-03-27,Thursday,1,5,5,0,12000,0.0,0.052,1,0,1,0,0,0,0.97,0.03,B3,1.26
T09,heavy_equipment,20,2025-03-28,Friday,1,5,5,0,12000,0.0,0.028,1,0,1,0,0,0,0.77,0.23,B3,1.26
T09,heavy_equipment,21,2025-03-31,Monday,0,5,5,5,12000,3600.0,0.038,1,0,1,0,0,0,0.0,1.0,B3,1.26
T09,heavy_equipment,22,2025-04-01,Tuesday,0,5,5,5,12000,3600.0,0.096,1,0,1,0,0,0,0.0,1.0,B3,1.26
T10,earthworks_crew,13,2025-03-19,Wednesday,1,7,6,1,5400,270.0,0.084,3,0,0,2,1,0,0.91,0.27,B3,1.12
T10,earthworks_crew,14,2025-03-20,Thursday,1,7,7,0,6300,0.0,0.038,3,0,0,2,1,0,0.78,0.66,B3,1.12
T10,earthworks_crew,15,2025-03-21,Friday,1,7,7,0,6300,0.0,0.009,3,0,0,2,1,0,0.76,0.72,B3,1.12
T10,earthworks_crew,16,2025-03-24,Monday,1,7,6,1,5400,270.0,0.094,3,0,0,2,1,0,0.86,0.42,B3,1.12
T10,earthworks_crew,17,2025-03-25,Tuesday,1,7,7,0,6300,0.0,0.019,3,0,0,2,1,0,0.75,0.75,B3,1.12
T10,earthworks_crew,18,2025-03-26,Wednesday,0,7,7,7,6300,1890.0,0.056,3,0,0,2,1,0,0.0,3.0,B3,1.12
T11,earthworks_crew,18,2025-03-26,Wednesday,1,7,7,0,6300,0.0,0.049,3,0,0,2,1,0,0.85,0.45,B3,1.12
T11,earthworks_crew,19,2025-03-27,Thursday,1,7,6,1,5400,270.0,0.116,3,0,0,2,1,0,0.76,0.72,B3,1.12
T11,earthworks_crew,20,2025-03-28,Friday,1,7,7,0,6300,0.0,0.037,3,0,0,2,1,0,0.77,0.69,B3,1.12
T11,earthworks_crew,21,2025-03-31,Monday,1,7,7,0,6300,0.0,0.014,3,0,0,2,1,0,0.74,0.78,B3,1.12
T11,earthworks_crew,22,2025-04-01,Tuesday,1,7,6,1,5400,270.0,0.082,3,0,0,2,1,0,0.93,0.21,B3,1.12
T12,earthworks_crew,23,2025-04-02,Wednesday,1,7,6,1,5400,270.0,0.084,2,0,0,1,1,0,0.71,0.58,B3,1.11
T12,earthworks_crew,24,2025-04-03,Thursday,1,7,6,1,5400,270.0,0.1,2,0,0,1,1,0,0.79,0.42,B3,1.11
T12,earthworks_crew,25,2025-04-04,Friday,1,7,7,0,6300,0.0,0.011,2,0,0,1,1,0,0.77,0.46,B3,1.11
T12,earthworks_crew,26,2025-04-07,Monday,1,7,7,0,6300,0.0,0.043,2,0,0,1,1,0,0.84,0.32,B3,1.11
T12,earthworks_crew,27,2025-04-08,Tuesday,1,7,6,1,5400,270.0,0.081,2,0,0,1,1,0,0.77,0.46,B3,1.11
T12,earthworks_crew,28,2025-04-09,Wednesday,0,7,6,7,5400,1890.0,0.119,2,0,0,1,1,0,0.0,2.0,B3,1.11
T12,earthworks_crew,29,2025-04-10,Thursday,0,7,7,7,6300,1890.0,0.004,2,0,0,1,1,0,0.0,2.0,B3,1.11
T13,specialist_crew,18,2025-03-26,Wednesday,1,5,5,0,6000,0.0,0.049,3,1,0,2,0,0,0.83,0.51,B3,1.22
T13,specialist_crew,19,2025-03-27,Thursday,1,5,5,0,6000,0.0,0.09,3,1,0,2,0,0,0.77,0.69,B3,1.22
T13,specialist_crew,20,2025-03-28,Friday,1,5,5,0,6000,0.0,0.055,3,1,0,2,0,0,0.93,0.21,B3,1.22
T13,specialist_crew,21,2025-03-31,Monday,1,5,5,0,6000,0.0,0.017,3,1,0,2,0,0,0.7,0.9,B3,1.22
T13,specialist_crew,22,2025-04-01,Tuesday,1,5,5,0,6000,0.0,0.1,3,1,0,2,0,0,0.98,0.06,B3,1.22
T13,specialist_crew,23,2025-04-02,Wednesday,1,5,5,0,6000,0.0,0.016,3,1,0,2,0,0,0.93,0.21,B3,1.22
T13,specialist_crew,24,2025-04-03,Thursday,0,5,5,5,6000,1800.0,0.045,3,1,0,2,0,0,0.0,3.0,B3,1.22
T14,specialist_crew,24,2025-04-03,Thursday,1,5,5,0,6000,0.0,0.076,3,1,0,2,0,0,0.88,0.36,B3,1.2
T14,specialist_crew,25,2025-04-04,Friday,1,5,5,0,6000,0.0,0.07,3,1,0,2,0,0,0.77,0.69,B3,1.2
T14,specialist_crew,26,2025-04-07,Monday,1,5,5,0,6000,0.0,0.098,3,1,0,2,0,0,0.71,0.87,B3,1.2
T14,specialist_crew,27,2025-04-08,Tuesday,1,5,5,0,6000,0.0,0.008,3,1,0,2,0,0,0.95,0.15,B3,1.2
T14,specialist_crew,28,2025-04-09,Wednesday,1,5,5,0,6000,0.0,0.053,3,1,0,2,0,0,0.74,0.78,B3,1.2
T14,specialist_crew,29,2025-04-10,Thursday,1,5,4,1,4800,360.0,0.109,3,1,0,2,0,0,0.93,0.21,B3,1.2
T15,specialist_crew,30,2025-04-11,Friday,1,5,5,0,6000,0.0,0.04,2,1,0,1,0,0,0.71,0.58,B3,1.18
T15,specialist_crew,31,2025-04-14,Monday,1,5,5,0,6000,0.0,0.055,2,1,0,1,0,0,0.75,0.5,B3,1.18
T15,specialist_crew,32,2025-04-15,Tuesday,1,5,5,0,6000,0.0,0.069,2,1,0,1,0,0,0.93,0.14,B3,1.18
T15,specialist_crew,33,2025-04-16,Wednesday,1,5,5,0,6000,0.0,0.047,2,1,0,1,0,0,0.71,0.58,B3,1.18
T15,specialist_crew,34,2025-04-17,Thursday,1,5,5,0,6000,0.0,0.082,2,1,0,1,0,0,0.75,0.5,B3,1.18
T15,specialist_crew,35,2025-04-18,Friday,0,5,5,5,6000,1800.0,0.026,2,1,0,1,0,0,0.0,2.0,B3,1.18
T15,specialist_crew,36,2025-04-21,Monday,0,5,5,5,6000,1800.0,0.022,2,1,0,1,0,0,0.0,2.0,B3,1.18
T15,specialist_crew,37,2025-04-22,Tuesday,0,5,5,5,6000,1800.0,0.034,2,1,0,1,0,0,0.0,2.0,B3,1.18
T16,paving_crew,24,2025-04-03,Thursday,1,8,7,1,7700,330.0,0.106,3,0,0,0,2,1,0.71,0.87,B3,1.24
T16,paving_crew,25,2025-04-04,Friday,1,8,7,1,7700,330.0,0.074,3,0,0,0,2,1,0.77,0.69,B3,1.24
T16,paving_crew,26,2025-04-07,Monday,1,8,8,0,8800,0.0,0.035,3,0,0,0,2,1,0.82,0.54,B3,1.24
T16,paving_crew,27,2025-04-08,Tuesday,1,8,7,1,7700,330.0,0.066,3,0,0,0,2,1,0.72,0.84,B3,1.24
T17,paving_crew,28,2025-04-09,Wednesday,1,8,8,0,8800,0.0,0.034,3,0,0,0,2,1,0.74,0.78,B3,1.24
T17,paving_crew,29,2025-04-10,Thursday,1,8,8,0,8800,0.0,0.024,3,0,0,0,2,1,0.95,0.15,B3,1.24
T17,paving_crew,30,2025-04-11,Friday,1,8,7,1,7700,330.0,0.063,3,0,0,0,2,1,0.88,0.36,B3,1.24
T17,paving_crew,31,2025-04-14,Monday,1,8,7,1,7700,330.0,0.096,3,0,0,0,2,1,0.92,0.24,B3,1.24
T17,paving_crew,32,2025-04-15,Tuesday,0,8,7,8,7700,2640.0,0.119,3,0,0,0,2,1,0.0,3.0,B3,1.24
T18,paving_crew,32,2025-04-15,Tuesday,1,8,7,1,7700,330.0,0.094,2,0,0,0,1,1,0.8,0.4,B3,1.22
T18,paving_crew,33,2025-04-16,Wednesday,1,8,7,1,7700,330.0,0.065,2,0,0,0,1,1,0.84,0.32,B3,1.22
T18,paving_crew,34,2025-04-17,Thursday,1,8,7,1,7700,330.0,0.11,2,0,0,0,1,1,0.84,0.32,B3,1.22
T18,paving_crew,35,2025-04-18,Friday,1,8,8,0,8800,0.0,0.047,2,0,0,0,1,1,0.75,0.5,B3,1.22
T18,paving_crew,36,2025-04-21,Monday,0,8,8,8,8800,2640.0,0.038,2,0,0,0,1,1,0.0,2.0,B3,1.22
T18,paving_crew,37,2025-04-22,Tuesday,0,8,8,8,8800,2640.0,0.026,2,0,0,0,1,1,0.0,2.0,B3,1.22
T19,paving_qc,28,2025-04-09,Wednesday,1,10,9,1,11700,390.0,0.107,3,0,0,0,1,2,0.92,0.24,B3,1.28
T19,paving_qc,29,2025-04-10,Thursday,1,10,10,0,13000,0.0,0.007,3,0,0,0,1,2,0.98,0.06,B3,1.28
T19,paving_qc,30,2025-04-11,Friday,1,10,9,1,11700,390.0,0.064,3,0,0,0,1,2,0.91,0.27,B3,1.28
T20,paving_qc,31,2025-04-14,Monday,1,10,9,1,11700,390.0,0.12,3,0,0,0,1,2,0.97,0.09,B3,1.27
T20,paving_qc,32,2025-04-15,Tuesday,1,10,10,0,13000,0.0,0.012,3,0,0,0,1,2,0.88,0.36,B3,1.27
T20,paving_qc,33,2025-04-16,Wednesday,1,10,10,0,13000,0.0,0.032,3,0,0,0,1,2,0.93,0.21,B3,1.27
T20,paving_qc,34,2025-04-17,Thursday,0,10,9,10,11700,3900.0,0.11,3,0,0,0,1,2,0.0,3.0,B3,1.27
T21,paving_qc,34,2025-04-17,Thursday,1,10,10,0,13000,0.0,0.007,3,0,0,0,1,2,0.98,0.06,B3,1.26
T21,paving_qc,35,2025-04-18,Friday,1,10,10,0,13000,0.0,0.026,3,0,0,0,1,2,0.94,0.18,B3,1.26
T21,paving_qc,36,2025-04-21,Monday,1,10,9,1,11700,390.0,0.096,3,0,0,0,1,2,0.8,0.6,B3,1.26
T21,paving_qc,37,2025-04-22,Tuesday,0,10,9,10,11700,3900.0,0.101,3,0,0,0,1,2,0.0,3.0,B3,1.26
T21,paving_qc,38,2025-04-23,Wednesday,0,10,9,10,11700,3900.0,0.101,3,0,0,0,1,2,0.0,3.0,B3,1.26
T22,specialist_crew,37,2025-04-22,Tuesday,1,5,5,0,6000,0.0,0.021,0,0,0,0,0,0,0.0,0,B3,1.03
T22,specialist_crew,38,2025-04-23,Wednesday,1,5,5,0,6000,0.0,0.071,0,0,0,0,0,0,0.0,0,B3,1.03
T22,specialist_crew,39,2025-04-24,Thursday,1,5,5,0,6000,0.0,0.097,0,0,0,0,0,0,0.0,0,B3,1.03
T22,specialist_crew,40,2025-04-25,Friday,0,5,5,5,6000,1800.0,0.084,0,0,0,0,0,0,0.0,0,B3,1.03
T23,general_labour,40,2025-04-25,Friday,1,6,5,1,3250,195.0,0.11,1,1,0,0,0,0,0.71,0.29,B3,1.02
T24,qa_qc_team,39,2025-04-24,Thursday,1,4,4,0,3800,0.0,0.084,0,0,0,0,0,0,0.0,0,B3,1.0
T24,qa_qc_team,40,2025-04-25,Friday,1,4,4,0,3800,0.0,0.114,0,0,0,0,0,0,0.0,0,B3,1.0
